wav_relpath,gt_emotion,gt_sensitivity,pred,score,index,probabilities
1.기쁨/0032_G1A4E1S0C0_KDD/0032_G1A4E1S0C0_KDD_001684.wav,Happy,즐겁다,hap,1.0,2,"[0.0, 0.0, 1.0, 0.0]"
1.기쁨/0043_G2A4E1S0C0_GYJ/0043_G2A4E1S0C0_GYJ_000855.wav,Happy,반갑다,ang,1.0,1,"[0.0, 1.0, 0.0, 0.0]"
1.기쁨/0043_G2A4E1S0C0_GYJ/0043_G2A4E1S0C0_GYJ_001551.wav,Happy,자유롭다,hap,1.0,2,"[0.0, 0.0, 1.0, 0.0]"
1.기쁨/0029_G2A4E1S0C0_KJE/0029_G2A4E1S0C0_KJE_000286.wav,Happy,굉장하다,hap,0.9059,2,"[0.0, 0.0941, 0.9059, 0.0]"
1.기쁨/0034_G2A4E1S0C0_LJH/0034_G2A4E1S0C0_LJH_001399.wav,Happy,자랑스럽다,hap,1.0,2,"[0.0, 0.0, 1.0, 0.0]"
1.기쁨/0034_G2A4E1S0C0_LJH/0034_G2A4E1S0C0_LJH_001573.wav,Happy,즐겁다,hap,1.0,2,"[0.0, 0.0, 1.0, 0.0]"
1.기쁨/0043_G2A4E1S0C0_GYJ/0043_G2A4E1S0C0_GYJ_001924.wav,Happy,행복하다,hap,0.9735,2,"[0.0013, 0.0252, 0.9735, 0.0]"
1.기쁨/0043_G2A4E1S0C0_GYJ/0043_G2A4E1S0C0_GYJ_000540.wav,Happy,만족스럽다,hap,1.0,2,"[0.0, 0.0, 1.0, 0.0]"
1.기쁨/0029_G2A4E1S0C0_KJE/0029_G2A4E1S0C0_KJE_000397.wav,Happy,만족스럽다,ang,0.5381,1,"[0.4619, 0.5381, 0.0, 0.0]"
1.기쁨/0043_G2A4E1S0C0_GYJ/0043_G2A4E1S0C0_GYJ_001896.wav,Happy,행복하다,ang,1.0,1,"[0.0, 1.0, 0.0, 0.0]"
1.기쁨/0032_G1A4E1S0C0_KDD/0032_G1A4E1S0C0_KDD_000874.wav,Happy,반갑다,hap,1.0,2,"[0.0, 0.0, 1.0, 0.0]"
1.기쁨/0029_G2A4E1S0C0_KJE/0029_G2A4E1S0C0_KJE_000087.wav,Happy,고맙다,ang,0.9759,1,"[0.0241, 0.9759, 0.0, 0.0]"
1.기쁨/0029_G2A4E1S0C0_KJE/0029_G2A4E1S0C0_KJE_000948.wav,Happy,반갑다,hap,1.0,2,"[0.0, 0.0, 1.0, 0.0]"
1.기쁨/0032_G1A4E1S0C0_KDD/0032_G1A4E1S0C0_KDD_000769.wav,Happy,뭉클하다,hap,0.9503,2,"[0.0, 0.0497, 0.9503, 0.0]"
1.기쁨/0043_G2A4E1S0C0_GYJ/0043_G2A4E1S0C0_GYJ_001932.wav,Happy,행복하다,hap,1.0,2,"[0.0, 0.0, 1.0, 0.0]"
1.기쁨/0032_G1A4E1S0C0_KDD/0032_G1A4E1S0C0_KDD_001638.wav,Happy,즐겁다,hap,1.0,2,"[0.0, 0.0, 1.0, 0.0]"
1.기쁨/0034_G2A4E1S0C0_LJH/0034_G2A4E1S0C0_LJH_000248.wav,Happy,굉장하다,hap,1.0,2,"[0.0, 0.0, 1.0, 0.0]"
1.기쁨/0043_G2A4E1S0C0_GYJ/0043_G2A4E1S0C0_GYJ_001992.wav,Happy,홀가분하다,ang,1.0,1,"[0.0, 1.0, 0.0, 0.0]"
1.기쁨/0043_G2A4E1S0C0_GYJ/0043_G2A4E1S0C0_GYJ_001255.wav,Happy,자랑스럽다,ang,1.0,1,"[0.0, 1.0, 0.0, 0.0]"
1.기쁨/0043_G2A4E1S0C0_GYJ/0043_G2A4E1S0C0_GYJ_000581.wav,Happy,만족스럽다,hap,0.9998,2,"[0.0, 0.0002, 0.9998, 0.0]"
1.기쁨/0043_G2A4E1S0C0_GYJ/0043_G2A4E1S0C0_GYJ_000349.wav,Happy,굉장하다,hap,1.0,2,"[0.0, 0.0, 1.0, 0.0]"
1.기쁨/0043_G2A4E1S0C0_GYJ/0043_G2A4E1S0C0_GYJ_001324.wav,Happy,자랑스럽다,ang,1.0,1,"[0.0, 1.0, 0.0, 0.0]"
1.기쁨/0032_G1A4E1S0C0_KDD/0032_G1A4E1S0C0_KDD_001772.wav,Happy,행복하다,hap,1.0,2,"[0.0, 0.0, 1.0, 0.0]"
1.기쁨/0032_G1A4E1S0C0_KDD/0032_G1A4E1S0C0_KDD_001543.wav,Happy,자유롭다,hap,1.0,2,"[0.0, 0.0, 1.0, 0.0]"
1.기쁨/0043_G2A4E1S0C0_GYJ/0043_G2A4E1S0C0_GYJ_001813.wav,Happy,행복하다,hap,0.7462,2,"[0.0, 0.2538, 0.7462, 0.0]"
1.기쁨/0032_G1A4E1S0C0_KDD/0032_G1A4E1S0C0_KDD_001317.wav,Happy,자랑스럽다,ang,0.9981,1,"[0.0, 0.9981, 0.0019, 0.0]"
1.기쁨/0043_G2A4E1S0C0_GYJ/0043_G2A4E1S0C0_GYJ_000177.wav,Happy,굉장하다,ang,1.0,1,"[0.0, 1.0, 0.0, 0.0]"
1.기쁨/0032_G1A4E1S0C0_KDD/0032_G1A4E1S0C0_KDD_001066.wav,Happy,사랑스럽다,hap,1.0,2,"[0.0, 0.0, 1.0, 0.0]"
1.기쁨/0032_G1A4E1S0C0_KDD/0032_G1A4E1S0C0_KDD_001579.wav,Happy,즐겁다,hap,1.0,2,"[0.0, 0.0, 1.0, 0.0]"
1.기쁨/0032_G1A4E1S0C0_KDD/0032_G1A4E1S0C0_KDD_001198.wav,Happy,영광스럽다,ang,0.897,1,"[0.0, 0.897, 0.103, 0.0]"
1.기쁨/0032_G1A4E1S0C0_KDD/0032_G1A4E1S0C0_KDD_000837.wav,Happy,반갑다,hap,1.0,2,"[0.0, 0.0, 1.0, 0.0]"
1.기쁨/0034_G2A4E1S0C0_LJH/0034_G2A4E1S0C0_LJH_001839.wav,Happy,행복하다,hap,1.0,2,"[0.0, 0.0, 1.0, 0.0]"
1.기쁨/0043_G2A4E1S0C0_GYJ/0043_G2A4E1S0C0_GYJ_000555.wav,Happy,만족스럽다,ang,0.9653,1,"[0.0, 0.9653, 0.0347, 0.0]"
1.기쁨/0034_G2A4E1S0C0_LJH/0034_G2A4E1S0C0_LJH_001115.wav,Happy,사랑스럽다,ang,0.9993,1,"[0.0, 0.9993, 0.0007, 0.0]"
1.기쁨/0032_G1A4E1S0C0_KDD/0032_G1A4E1S0C0_KDD_000711.wav,Happy,뭉클하다,hap,1.0,2,"[0.0, 0.0, 1.0, 0.0]"
1.기쁨/0034_G2A4E1S0C0_LJH/0034_G2A4E1S0C0_LJH_001817.wav,Happy,행복하다,ang,1.0,1,"[0.0, 1.0, 0.0, 0.0]"
1.기쁨/0029_G2A4E1S0C0_KJE/0029_G2A4E1S0C0_KJE_001918.wav,Happy,행복하다,hap,1.0,2,"[0.0, 0.0, 1.0, 0.0]"
1.기쁨/0029_G2A4E1S0C0_KJE/0029_G2A4E1S0C0_KJE_001231.wav,Happy,영광스럽다,ang,1.0,1,"[0.0, 1.0, 0.0, 0.0]"
1.기쁨/0043_G2A4E1S0C0_GYJ/0043_G2A4E1S0C0_GYJ_000416.wav,Happy,만족스럽다,ang,1.0,1,"[0.0, 1.0, 0.0, 0.0]"
1.기쁨/0029_G2A4E1S0C0_KJE/0029_G2A4E1S0C0_KJE_001530.wav,Happy,자유롭다,hap,1.0,2,"[0.0, 0.0, 1.0, 0.0]"
1.기쁨/0029_G2A4E1S0C0_KJE/0029_G2A4E1S0C0_KJE_001440.wav,Happy,자랑스럽다,ang,0.9979,1,"[0.0021, 0.9979, 0.0, 0.0]"
1.기쁨/0043_G2A4E1S0C0_GYJ/0043_G2A4E1S0C0_GYJ_000656.wav,Happy,만족스럽다,hap,1.0,2,"[0.0, 0.0, 1.0, 0.0]"
1.기쁨/0032_G1A4E1S0C0_KDD/0032_G1A4E1S0C0_KDD_001736.wav,Happy,즐겁다,ang,0.9999,1,"[0.0, 0.9999, 0.0001, 0.0]"
1.기쁨/0034_G2A4E1S0C0_LJH/0034_G2A4E1S0C0_LJH_001328.wav,Happy,자랑스럽다,hap,0.9996,2,"[0.0, 0.0004, 0.9996, 0.0]"
1.기쁨/0034_G2A4E1S0C0_LJH/0034_G2A4E1S0C0_LJH_000024.wav,Happy,고맙다,hap,0.9996,2,"[0.0, 0.0004, 0.9996, 0.0]"
1.기쁨/0034_G2A4E1S0C0_LJH/0034_G2A4E1S0C0_LJH_001193.wav,Happy,영광스럽다,ang,1.0,1,"[0.0, 1.0, 0.0, 0.0]"
1.기쁨/0043_G2A4E1S0C0_GYJ/0043_G2A4E1S0C0_GYJ_000386.wav,Happy,만족스럽다,hap,1.0,2,"[0.0, 0.0, 1.0, 0.0]"
1.기쁨/0043_G2A4E1S0C0_GYJ/0043_G2A4E1S0C0_GYJ_001878.wav,Happy,행복하다,hap,1.0,2,"[0.0, 0.0, 1.0, 0.0]"
1.기쁨/0029_G2A4E1S0C0_KJE/0029_G2A4E1S0C0_KJE_000051.wav,Happy,고맙다,hap,1.0,2,"[0.0, 0.0, 1.0, 0.0]"
1.기쁨/0029_G2A4E1S0C0_KJE/0029_G2A4E1S0C0_KJE_000615.wav,Happy,만족스럽다,ang,1.0,1,"[0.0, 1.0, 0.0, 0.0]"
2.슬픔/0033_G2A3E2S0C0_KMA/0033_G2A3E2S0C0_KMA_001842.wav,Sad,안타깝다,hap,1.0,2,"[0.0, 0.0, 1.0, 0.0]"
2.슬픔/0036_G1A4E2S0C0_BJS/0036_G1A4E2S0C0_BJS_000749.wav,Sad,불행하다,hap,1.0,2,"[0.0, 0.0, 1.0, 0.0]"
2.슬픔/0036_G1A4E2S0C0_BJS/0036_G1A4E2S0C0_BJS_001254.wav,Sad,쓸쓸하다,hap,1.0,2,"[0.0, 0.0, 1.0, 0.0]"
2.슬픔/0033_G2A3E2S0C0_KMA/0033_G2A3E2S0C0_KMA_001641.wav,Sad,안타깝다,hap,1.0,2,"[0.0, 0.0, 1.0, 0.0]"
2.슬픔/0036_G1A4E2S0C0_BJS/0036_G1A4E2S0C0_BJS_000748.wav,Sad,불행하다,hap,1.0,2,"[0.0, 0.0, 1.0, 0.0]"
2.슬픔/0033_G2A3E2S0C0_KMA/0033_G2A3E2S0C0_KMA_000843.wav,Sad,불행하다,hap,1.0,2,"[0.0, 0.0, 1.0, 0.0]"
2.슬픔/0037_G1A4E2S0C0_SJH/0037_G1A4E2S0C0_SJH_000716.wav,Sad,불쌍하다,hap,1.0,2,"[0.0, 0.0, 1.0, 0.0]"
2.슬픔/0033_G2A3E2S0C0_KMA/0033_G2A3E2S0C0_KMA_000769.wav,Sad,불행하다,hap,0.9819,2,"[0.0, 0.018, 0.9819, 0.0]"
2.슬픔/0035_G1A3E2S0C0_KIH/0035_G1A3E2S0C0_KIH_000429.wav,Sad,그립다,hap,1.0,2,"[0.0, 0.0, 1.0, 0.0]"
2.슬픔/0033_G2A3E2S0C0_KMA/0033_G2A3E2S0C0_KMA_000206.wav,Sad,괴롭다,hap,1.0,2,"[0.0, 0.0, 1.0, 0.0]"
2.슬픔/0037_G1A4E2S0C0_SJH/0037_G1A4E2S0C0_SJH_001141.wav,Sad,시무룩하다,hap,0.9735,2,"[0.0265, 0.0, 0.9735, 0.0]"
2.슬픔/0036_G1A4E2S0C0_BJS/0036_G1A4E2S0C0_BJS_001403.wav,Sad,쓸쓸하다,hap,1.0,2,"[0.0, 0.0, 1.0, 0.0]"
2.슬픔/0035_G1A3E2S0C0_KIH/0035_G1A3E2S0C0_KIH_000035.wav,Sad,가엾다,hap,1.0,2,"[0.0, 0.0, 1.0, 0.0]"
2.슬픔/0033_G2A3E2S0C0_KMA/0033_G2A3E2S0C0_KMA_000448.wav,Sad,그립다,hap,1.0,2,"[0.0, 0.0, 1.0, 0.0]"
2.슬픔/0035_G1A3E2S0C0_KIH/0035_G1A3E2S0C0_KIH_001694.wav,Sad,안타깝다,hap,0.9999,2,"[0.0001, 0.0, 0.9999, 0.0]"
2.슬픔/0036_G1A4E2S0C0_BJS/0036_G1A4E2S0C0_BJS_001652.wav,Sad,안타깝다,hap,0.9999,2,"[0.0, 0.0, 0.9999, 0.0001]"
2.슬픔/0037_G1A4E2S0C0_SJH/0037_G1A4E2S0C0_SJH_000022.wav,Sad,가엾다,neu,1.0,0,"[1.0, 0.0, 0.0, 0.0]"
2.슬픔/0037_G1A4E2S0C0_SJH/0037_G1A4E2S0C0_SJH_001595.wav,Sad,안타깝다,hap,1.0,2,"[0.0, 0.0, 1.0, 0.0]"
2.슬픔/0033_G2A3E2S0C0_KMA/0033_G2A3E2S0C0_KMA_001487.wav,Sad,아쉽다,hap,1.0,2,"[0.0, 0.0, 1.0, 0.0]"
2.슬픔/0036_G1A4E2S0C0_BJS/0036_G1A4E2S0C0_BJS_001587.wav,Sad,안타깝다,hap,1.0,2,"[0.0, 0.0, 1.0, 0.0]"
2.슬픔/0035_G1A3E2S0C0_KIH/0035_G1A3E2S0C0_KIH_001688.wav,Sad,안타깝다,hap,1.0,2,"[0.0, 0.0, 1.0, 0.0]"
2.슬픔/0033_G2A3E2S0C0_KMA/0033_G2A3E2S0C0_KMA_001991.wav,Sad,억울하다,hap,1.0,2,"[0.0, 0.0, 1.0, 0.0]"
2.슬픔/0037_G1A4E2S0C0_SJH/0037_G1A4E2S0C0_SJH_000527.wav,Sad,보잘것없다,hap,0.9812,2,"[0.0188, 0.0, 0.9812, 0.0]"
2.슬픔/0035_G1A3E2S0C0_KIH/0035_G1A3E2S0C0_KIH_001074.wav,Sad,서럽다,hap,1.0,2,"[0.0, 0.0, 1.0, 0.0]"
2.슬픔/0035_G1A3E2S0C0_KIH/0035_G1A3E2S0C0_KIH_000022.wav,Sad,가엾다,hap,1.0,2,"[0.0, 0.0, 1.0, 0.0]"
2.슬픔/0037_G1A4E2S0C0_SJH/0037_G1A4E2S0C0_SJH_000364.wav,Sad,그립다,hap,1.0,2,"[0.0, 0.0, 1.0, 0.0]"
2.슬픔/0037_G1A4E2S0C0_SJH/0037_G1A4E2S0C0_SJH_001229.wav,Sad,시무룩하다,neu,0.9996,0,"[0.9996, 0.0, 0.0004, 0.0]"
2.슬픔/0033_G2A3E2S0C0_KMA/0033_G2A3E2S0C0_KMA_000959.wav,Sad,서럽다,hap,1.0,2,"[0.0, 0.0, 1.0, 0.0]"
2.슬픔/0035_G1A3E2S0C0_KIH/0035_G1A3E2S0C0_KIH_000741.wav,Sad,불쌍하다,hap,1.0,2,"[0.0, 0.0, 1.0, 0.0]"
2.슬픔/0036_G1A4E2S0C0_BJS/0036_G1A4E2S0C0_BJS_001861.wav,Sad,안타깝다,hap,0.5326,2,"[0.4668, 0.0006, 0.5326, 0.0]"
2.슬픔/0035_G1A3E2S0C0_KIH/0035_G1A3E2S0C0_KIH_001695.wav,Sad,안타깝다,hap,1.0,2,"[0.0, 0.0, 1.0, 0.0]"
2.슬픔/0036_G1A4E2S0C0_BJS/0036_G1A4E2S0C0_BJS_000669.wav,Sad,불쌍하다,neu,1.0,0,"[1.0, 0.0, 0.0, 0.0]"
2.슬픔/0036_G1A4E2S0C0_BJS/0036_G1A4E2S0C0_BJS_000128.wav,Sad,가엾다,ang,0.9998,1,"[0.0002, 0.9998, 0.0, 0.0]"
2.슬픔/0035_G1A3E2S0C0_KIH/0035_G1A3E2S0C0_KIH_001011.wav,Sad,서럽다,hap,1.0,2,"[0.0, 0.0, 1.0, 0.0]"
2.슬픔/0036_G1A4E2S0C0_BJS/0036_G1A4E2S0C0_BJS_001394.wav,Sad,쓸쓸하다,hap,1.0,2,"[0.0, 0.0, 1.0, 0.0]"
2.슬픔/0037_G1A4E2S0C0_SJH/0037_G1A4E2S0C0_SJH_001153.wav,Sad,시무룩하다,hap,0.9844,2,"[0.0156, 0.0, 0.9844, 0.0]"
2.슬픔/0033_G2A3E2S0C0_KMA/0033_G2A3E2S0C0_KMA_000414.wav,Sad,그립다,hap,1.0,2,"[0.0, 0.0, 1.0, 0.0]"
2.슬픔/0036_G1A4E2S0C0_BJS/0036_G1A4E2S0C0_BJS_001582.wav,Sad,안타깝다,ang,0.9933,1,"[0.0, 0.9933, 0.0067, 0.0]"
2.슬픔/0037_G1A4E2S0C0_SJH/0037_G1A4E2S0C0_SJH_001445.wav,Sad,아쉽다,hap,1.0,2,"[0.0, 0.0, 1.0, 0.0]"
2.슬픔/0036_G1A4E2S0C0_BJS/0036_G1A4E2S0C0_BJS_001666.wav,Sad,안타깝다,neu,0.8194,0,"[0.8194, 0.0006, 0.18, 0.0]"
2.슬픔/0037_G1A4E2S0C0_SJH/0037_G1A4E2S0C0_SJH_001522.wav,Sad,아쉽다,neu,0.9843,0,"[0.9843, 0.0, 0.0157, 0.0]"
