wav_relpath,gt_emotion,gt_sensitivity,arousal,dominance,valence
1.기쁨/0032_G1A4E1S0C0_KDD/0032_G1A4E1S0C0_KDD_001684.wav,Happy,즐겁다,0.6184,0.6249,0.7949
1.기쁨/0043_G2A4E1S0C0_GYJ/0043_G2A4E1S0C0_GYJ_000855.wav,Happy,반갑다,0.6744,0.6814,0.1995
1.기쁨/0043_G2A4E1S0C0_GYJ/0043_G2A4E1S0C0_GYJ_001551.wav,Happy,자유롭다,0.6667,0.6595,0.4915
1.기쁨/0029_G2A4E1S0C0_KJE/0029_G2A4E1S0C0_KJE_000286.wav,Happy,굉장하다,0.6333,0.6397,0.5502
1.기쁨/0034_G2A4E1S0C0_LJH/0034_G2A4E1S0C0_LJH_001399.wav,Happy,자랑스럽다,0.7307,0.728,0.672
1.기쁨/0034_G2A4E1S0C0_LJH/0034_G2A4E1S0C0_LJH_001573.wav,Happy,즐겁다,0.6142,0.6157,0.4765
1.기쁨/0043_G2A4E1S0C0_GYJ/0043_G2A4E1S0C0_GYJ_001924.wav,Happy,행복하다,0.6134,0.6156,0.5212
1.기쁨/0043_G2A4E1S0C0_GYJ/0043_G2A4E1S0C0_GYJ_000540.wav,Happy,만족스럽다,0.6397,0.6576,0.5076
1.기쁨/0029_G2A4E1S0C0_KJE/0029_G2A4E1S0C0_KJE_000397.wav,Happy,만족스럽다,0.5095,0.578,0.5223
1.기쁨/0043_G2A4E1S0C0_GYJ/0043_G2A4E1S0C0_GYJ_001896.wav,Happy,행복하다,0.616,0.6335,0.6528
1.기쁨/0032_G1A4E1S0C0_KDD/0032_G1A4E1S0C0_KDD_000874.wav,Happy,반갑다,0.6079,0.6401,0.6199
1.기쁨/0029_G2A4E1S0C0_KJE/0029_G2A4E1S0C0_KJE_000087.wav,Happy,고맙다,0.5453,0.5788,0.5091
1.기쁨/0029_G2A4E1S0C0_KJE/0029_G2A4E1S0C0_KJE_000948.wav,Happy,반갑다,0.5956,0.6084,0.5503
1.기쁨/0032_G1A4E1S0C0_KDD/0032_G1A4E1S0C0_KDD_000769.wav,Happy,뭉클하다,0.5562,0.584,0.5427
1.기쁨/0043_G2A4E1S0C0_GYJ/0043_G2A4E1S0C0_GYJ_001932.wav,Happy,행복하다,0.51,0.5412,0.4518
1.기쁨/0032_G1A4E1S0C0_KDD/0032_G1A4E1S0C0_KDD_001638.wav,Happy,즐겁다,0.6994,0.703,0.7895
1.기쁨/0034_G2A4E1S0C0_LJH/0034_G2A4E1S0C0_LJH_000248.wav,Happy,굉장하다,0.7668,0.7005,0.4816
1.기쁨/0043_G2A4E1S0C0_GYJ/0043_G2A4E1S0C0_GYJ_001992.wav,Happy,홀가분하다,0.6726,0.6634,0.4901
1.기쁨/0043_G2A4E1S0C0_GYJ/0043_G2A4E1S0C0_GYJ_001255.wav,Happy,자랑스럽다,0.6517,0.6232,0.4969
1.기쁨/0043_G2A4E1S0C0_GYJ/0043_G2A4E1S0C0_GYJ_000581.wav,Happy,만족스럽다,0.59,0.6088,0.5911
1.기쁨/0043_G2A4E1S0C0_GYJ/0043_G2A4E1S0C0_GYJ_000349.wav,Happy,굉장하다,0.7058,0.6784,0.5632
1.기쁨/0043_G2A4E1S0C0_GYJ/0043_G2A4E1S0C0_GYJ_001324.wav,Happy,자랑스럽다,0.6451,0.6309,0.3667
1.기쁨/0032_G1A4E1S0C0_KDD/0032_G1A4E1S0C0_KDD_001772.wav,Happy,행복하다,0.6318,0.6435,0.5636
1.기쁨/0032_G1A4E1S0C0_KDD/0032_G1A4E1S0C0_KDD_001543.wav,Happy,자유롭다,0.4796,0.504,0.375
1.기쁨/0043_G2A4E1S0C0_GYJ/0043_G2A4E1S0C0_GYJ_001813.wav,Happy,행복하다,0.6667,0.6647,0.659
1.기쁨/0032_G1A4E1S0C0_KDD/0032_G1A4E1S0C0_KDD_001317.wav,Happy,자랑스럽다,0.5835,0.6,0.4364
1.기쁨/0043_G2A4E1S0C0_GYJ/0043_G2A4E1S0C0_GYJ_000177.wav,Happy,굉장하다,0.6897,0.6813,0.398
1.기쁨/0032_G1A4E1S0C0_KDD/0032_G1A4E1S0C0_KDD_001066.wav,Happy,사랑스럽다,0.7242,0.705,0.3327
1.기쁨/0032_G1A4E1S0C0_KDD/0032_G1A4E1S0C0_KDD_001579.wav,Happy,즐겁다,0.6746,0.6665,0.6755
1.기쁨/0032_G1A4E1S0C0_KDD/0032_G1A4E1S0C0_KDD_001198.wav,Happy,영광스럽다,0.6971,0.6626,0.5471
1.기쁨/0032_G1A4E1S0C0_KDD/0032_G1A4E1S0C0_KDD_000837.wav,Happy,반갑다,0.6687,0.6662,0.5072
1.기쁨/0034_G2A4E1S0C0_LJH/0034_G2A4E1S0C0_LJH_001839.wav,Happy,행복하다,0.7197,0.6954,0.56
1.기쁨/0043_G2A4E1S0C0_GYJ/0043_G2A4E1S0C0_GYJ_000555.wav,Happy,만족스럽다,0.6186,0.6394,0.6815
1.기쁨/0034_G2A4E1S0C0_LJH/0034_G2A4E1S0C0_LJH_001115.wav,Happy,사랑스럽다,0.5933,0.6033,0.5671
1.기쁨/0032_G1A4E1S0C0_KDD/0032_G1A4E1S0C0_KDD_000711.wav,Happy,뭉클하다,0.6626,0.6579,0.5539
1.기쁨/0034_G2A4E1S0C0_LJH/0034_G2A4E1S0C0_LJH_001817.wav,Happy,행복하다,0.6189,0.6432,0.5038
1.기쁨/0029_G2A4E1S0C0_KJE/0029_G2A4E1S0C0_KJE_001918.wav,Happy,행복하다,0.5405,0.568,0.5105
1.기쁨/0029_G2A4E1S0C0_KJE/0029_G2A4E1S0C0_KJE_001231.wav,Happy,영광스럽다,0.5934,0.6164,0.5874
1.기쁨/0043_G2A4E1S0C0_GYJ/0043_G2A4E1S0C0_GYJ_000416.wav,Happy,만족스럽다,0.6666,0.6239,0.3153
1.기쁨/0029_G2A4E1S0C0_KJE/0029_G2A4E1S0C0_KJE_001530.wav,Happy,자유롭다,0.5216,0.5712,0.4646
1.기쁨/0029_G2A4E1S0C0_KJE/0029_G2A4E1S0C0_KJE_001440.wav,Happy,자랑스럽다,0.68,0.6728,0.5477
1.기쁨/0043_G2A4E1S0C0_GYJ/0043_G2A4E1S0C0_GYJ_000656.wav,Happy,만족스럽다,0.6468,0.6746,0.5576
1.기쁨/0032_G1A4E1S0C0_KDD/0032_G1A4E1S0C0_KDD_001736.wav,Happy,즐겁다,0.6841,0.6903,0.5808
1.기쁨/0034_G2A4E1S0C0_LJH/0034_G2A4E1S0C0_LJH_001328.wav,Happy,자랑스럽다,0.631,0.6458,0.5226
1.기쁨/0034_G2A4E1S0C0_LJH/0034_G2A4E1S0C0_LJH_000024.wav,Happy,고맙다,0.6597,0.6572,0.5318
1.기쁨/0034_G2A4E1S0C0_LJH/0034_G2A4E1S0C0_LJH_001193.wav,Happy,영광스럽다,0.7164,0.6981,0.5144
1.기쁨/0043_G2A4E1S0C0_GYJ/0043_G2A4E1S0C0_GYJ_000386.wav,Happy,만족스럽다,0.652,0.6578,0.5536
1.기쁨/0043_G2A4E1S0C0_GYJ/0043_G2A4E1S0C0_GYJ_001878.wav,Happy,행복하다,0.5663,0.5957,0.4874
1.기쁨/0029_G2A4E1S0C0_KJE/0029_G2A4E1S0C0_KJE_000051.wav,Happy,고맙다,0.6138,0.6631,0.4698
1.기쁨/0029_G2A4E1S0C0_KJE/0029_G2A4E1S0C0_KJE_000615.wav,Happy,만족스럽다,0.4398,0.5065,0.4897
2.슬픔/0033_G2A3E2S0C0_KMA/0033_G2A3E2S0C0_KMA_001842.wav,Sad,안타깝다,0.4467,0.4755,0.5399
2.슬픔/0036_G1A4E2S0C0_BJS/0036_G1A4E2S0C0_BJS_000749.wav,Sad,불행하다,0.4278,0.5265,0.5811
2.슬픔/0036_G1A4E2S0C0_BJS/0036_G1A4E2S0C0_BJS_001254.wav,Sad,쓸쓸하다,0.2382,0.3638,0.3705
2.슬픔/0033_G2A3E2S0C0_KMA/0033_G2A3E2S0C0_KMA_001641.wav,Sad,안타깝다,0.3897,0.4448,0.5814
2.슬픔/0036_G1A4E2S0C0_BJS/0036_G1A4E2S0C0_BJS_000748.wav,Sad,불행하다,0.2221,0.341,0.2335
2.슬픔/0033_G2A3E2S0C0_KMA/0033_G2A3E2S0C0_KMA_000843.wav,Sad,불행하다,0.2796,0.3936,0.4968
2.슬픔/0037_G1A4E2S0C0_SJH/0037_G1A4E2S0C0_SJH_000716.wav,Sad,불쌍하다,0.3006,0.4071,0.4882
2.슬픔/0033_G2A3E2S0C0_KMA/0033_G2A3E2S0C0_KMA_000769.wav,Sad,불행하다,0.4065,0.4908,0.3846
2.슬픔/0035_G1A3E2S0C0_KIH/0035_G1A3E2S0C0_KIH_000429.wav,Sad,그립다,0.2576,0.4082,0.3753
2.슬픔/0033_G2A3E2S0C0_KMA/0033_G2A3E2S0C0_KMA_000206.wav,Sad,괴롭다,0.552,0.5535,0.3081
2.슬픔/0037_G1A4E2S0C0_SJH/0037_G1A4E2S0C0_SJH_001141.wav,Sad,시무룩하다,0.2857,0.383,0.4853
2.슬픔/0036_G1A4E2S0C0_BJS/0036_G1A4E2S0C0_BJS_001403.wav,Sad,쓸쓸하다,0.2612,0.3695,0.4284
2.슬픔/0035_G1A3E2S0C0_KIH/0035_G1A3E2S0C0_KIH_000035.wav,Sad,가엾다,0.4108,0.4967,0.4764
2.슬픔/0033_G2A3E2S0C0_KMA/0033_G2A3E2S0C0_KMA_000448.wav,Sad,그립다,0.427,0.4949,0.5501
2.슬픔/0035_G1A3E2S0C0_KIH/0035_G1A3E2S0C0_KIH_001694.wav,Sad,안타깝다,0.3531,0.4342,0.3859
2.슬픔/0036_G1A4E2S0C0_BJS/0036_G1A4E2S0C0_BJS_001652.wav,Sad,안타깝다,0.2544,0.3541,0.3807
2.슬픔/0037_G1A4E2S0C0_SJH/0037_G1A4E2S0C0_SJH_000022.wav,Sad,가엾다,0.2081,0.3384,0.463
2.슬픔/0037_G1A4E2S0C0_SJH/0037_G1A4E2S0C0_SJH_001595.wav,Sad,안타깝다,0.3264,0.4226,0.4306
2.슬픔/0033_G2A3E2S0C0_KMA/0033_G2A3E2S0C0_KMA_001487.wav,Sad,아쉽다,0.3592,0.419,0.2932
2.슬픔/0036_G1A4E2S0C0_BJS/0036_G1A4E2S0C0_BJS_001587.wav,Sad,안타깝다,0.3229,0.4449,0.2734
2.슬픔/0035_G1A3E2S0C0_KIH/0035_G1A3E2S0C0_KIH_001688.wav,Sad,안타깝다,0.2832,0.3903,0.3464
2.슬픔/0033_G2A3E2S0C0_KMA/0033_G2A3E2S0C0_KMA_001991.wav,Sad,억울하다,0.4953,0.5047,0.4533
2.슬픔/0037_G1A4E2S0C0_SJH/0037_G1A4E2S0C0_SJH_000527.wav,Sad,보잘것없다,0.3787,0.4669,0.4155
2.슬픔/0035_G1A3E2S0C0_KIH/0035_G1A3E2S0C0_KIH_001074.wav,Sad,서럽다,0.3315,0.4115,0.2193
2.슬픔/0035_G1A3E2S0C0_KIH/0035_G1A3E2S0C0_KIH_000022.wav,Sad,가엾다,0.3659,0.4788,0.5318
2.슬픔/0037_G1A4E2S0C0_SJH/0037_G1A4E2S0C0_SJH_000364.wav,Sad,그립다,0.2561,0.3744,0.3614
2.슬픔/0037_G1A4E2S0C0_SJH/0037_G1A4E2S0C0_SJH_001229.wav,Sad,시무룩하다,0.3036,0.4048,0.2336
2.슬픔/0033_G2A3E2S0C0_KMA/0033_G2A3E2S0C0_KMA_000959.wav,Sad,서럽다,0.4618,0.4635,0.3564
2.슬픔/0035_G1A3E2S0C0_KIH/0035_G1A3E2S0C0_KIH_000741.wav,Sad,불쌍하다,0.3524,0.4481,0.265
2.슬픔/0036_G1A4E2S0C0_BJS/0036_G1A4E2S0C0_BJS_001861.wav,Sad,안타깝다,0.2877,0.4126,0.2672
2.슬픔/0035_G1A3E2S0C0_KIH/0035_G1A3E2S0C0_KIH_001695.wav,Sad,안타깝다,0.3717,0.4629,0.4786
2.슬픔/0036_G1A4E2S0C0_BJS/0036_G1A4E2S0C0_BJS_000669.wav,Sad,불쌍하다,0.3742,0.4495,0.3432
2.슬픔/0036_G1A4E2S0C0_BJS/0036_G1A4E2S0C0_BJS_000128.wav,Sad,가엾다,0.2203,0.3317,0.157
2.슬픔/0035_G1A3E2S0C0_KIH/0035_G1A3E2S0C0_KIH_001011.wav,Sad,서럽다,0.291,0.422,0.4536
2.슬픔/0036_G1A4E2S0C0_BJS/0036_G1A4E2S0C0_BJS_001394.wav,Sad,쓸쓸하다,0.2541,0.3747,0.4197
2.슬픔/0037_G1A4E2S0C0_SJH/0037_G1A4E2S0C0_SJH_001153.wav,Sad,시무룩하다,0.3416,0.4392,0.4905
2.슬픔/0033_G2A3E2S0C0_KMA/0033_G2A3E2S0C0_KMA_000414.wav,Sad,그립다,0.315,0.4126,0.4517
2.슬픔/0036_G1A4E2S0C0_BJS/0036_G1A4E2S0C0_BJS_001582.wav,Sad,안타깝다,0.4374,0.4999,0.4138
2.슬픔/0037_G1A4E2S0C0_SJH/0037_G1A4E2S0C0_SJH_001445.wav,Sad,아쉽다,0.2837,0.3838,0.4018
2.슬픔/0036_G1A4E2S0C0_BJS/0036_G1A4E2S0C0_BJS_001666.wav,Sad,안타깝다,0.4264,0.5009,0.5398
2.슬픔/0037_G1A4E2S0C0_SJH/0037_G1A4E2S0C0_SJH_001522.wav,Sad,아쉽다,0.2874,0.3863,0.4363
2.슬픔/0036_G1A4E2S0C0_BJS/0036_G1A4E2S0C0_BJS_001121.wav,Sad,서럽다,0.2085,0.3403,0.3799
2.슬픔/0033_G2A3E2S0C0_KMA/0033_G2A3E2S0C0_KMA_001458.wav,Sad,아쉽다,0.4234,0.445,0.4008
2.슬픔/0033_G2A3E2S0C0_KMA/0033_G2A3E2S0C0_KMA_000524.wav,Sad,보잘것없다,0.3261,0.428,0.4958
2.슬픔/0033_G2A3E2S0C0_KMA/0033_G2A3E2S0C0_KMA_001861.wav,Sad,안타깝다,0.4588,0.509,0.5066
2.슬픔/0035_G1A3E2S0C0_KIH/0035_G1A3E2S0C0_KIH_000798.wav,Sad,불행하다,0.1919,0.3292,0.3485
2.슬픔/0037_G1A4E2S0C0_SJH/0037_G1A4E2S0C0_SJH_000016.wav,Sad,가엾다,0.232,0.3373,0.4173
2.슬픔/0033_G2A3E2S0C0_KMA/0033_G2A3E2S0C0_KMA_001292.wav,Sad,쓸쓸하다,0.1968,0.3302,0.2199
2.슬픔/0036_G1A4E2S0C0_BJS/0036_G1A4E2S0C0_BJS_001567.wav,Sad,안타깝다,0.288,0.4066,0.2606
2.슬픔/0033_G2A3E2S0C0_KMA/0033_G2A3E2S0C0_KMA_001609.wav,Sad,안타깝다,0.4091,0.4569,0.5729
3.분노/0006_G1A3E3S0C0_LHJ/0006_G1A3E3S0C0_LHJ_000002.wav,Angry,경멸스럽다,0.3636,0.4797,0.3179
3.분노/0044_G2A5E3S0C0_KTH/0044_G2A5E3S0C0_KTH_001000.wav,Angry,뻔뻔스럽다,0.8213,0.7949,0.4549
3.분노/0006_G1A3E3S0C0_LHJ/0006_G1A3E3S0C0_LHJ_001372.wav,Angry,억울하다,0.6741,0.6792,0.3309
3.분노/0018_G2A3E3S0C0_JBR/0018_G2A3E3S0C0_JBR_001478.wav,Angry,억울하다,0.5484,0.6249,0.6577
3.분노/0044_G2A5E3S0C0_KTH/0044_G2A5E3S0C0_KTH_001123.wav,Angry,아니꼽다,0.6904,0.717,0.5098
3.분노/0006_G1A3E3S0C0_LHJ/0006_G1A3E3S0C0_LHJ_001287.wav,Angry,악랄하다,0.5783,0.6393,0.6498
3.분노/0044_G2A5E3S0C0_KTH/0044_G2A5E3S0C0_KTH_001556.wav,Angry,언짢다,0.6902,0.6933,0.4131
3.분노/0043_G2A4E3S0C0_GYJ/0043_G2A4E3S0C0_GYJ_000577.wav,Angry,밉다,0.4711,0.5318,0.4083
3.분노/0006_G1A3E3S0C0_LHJ/0006_G1A3E3S0C0_LHJ_000271.wav,Angry,기막히다,0.7234,0.7148,0.4352
