wav_relpath,gt_emotion,gt_sensitivity,pred,score
1.기쁨/0032_G1A4E1S0C0_KDD/0032_G1A4E1S0C0_KDD_001684.wav,Happy,즐겁다,happy,1.0
1.기쁨/0043_G2A4E1S0C0_GYJ/0043_G2A4E1S0C0_GYJ_000855.wav,Happy,반갑다,surprised,0.9984
1.기쁨/0043_G2A4E1S0C0_GYJ/0043_G2A4E1S0C0_GYJ_001551.wav,Happy,자유롭다,happy,1.0
1.기쁨/0029_G2A4E1S0C0_KJE/0029_G2A4E1S0C0_KJE_000286.wav,Happy,굉장하다,happy,0.9952
1.기쁨/0034_G2A4E1S0C0_LJH/0034_G2A4E1S0C0_LJH_001399.wav,Happy,자랑스럽다,surprised,0.9987
1.기쁨/0034_G2A4E1S0C0_LJH/0034_G2A4E1S0C0_LJH_001573.wav,Happy,즐겁다,happy,1.0
1.기쁨/0043_G2A4E1S0C0_GYJ/0043_G2A4E1S0C0_GYJ_001924.wav,Happy,행복하다,happy,0.9359
1.기쁨/0043_G2A4E1S0C0_GYJ/0043_G2A4E1S0C0_GYJ_000540.wav,Happy,만족스럽다,happy,0.7682
1.기쁨/0029_G2A4E1S0C0_KJE/0029_G2A4E1S0C0_KJE_000397.wav,Happy,만족스럽다,neutral,0.9992
1.기쁨/0043_G2A4E1S0C0_GYJ/0043_G2A4E1S0C0_GYJ_001896.wav,Happy,행복하다,surprised,1.0
1.기쁨/0032_G1A4E1S0C0_KDD/0032_G1A4E1S0C0_KDD_000874.wav,Happy,반갑다,happy,1.0
1.기쁨/0029_G2A4E1S0C0_KJE/0029_G2A4E1S0C0_KJE_000087.wav,Happy,고맙다,happy,1.0
1.기쁨/0029_G2A4E1S0C0_KJE/0029_G2A4E1S0C0_KJE_000948.wav,Happy,반갑다,happy,1.0
1.기쁨/0032_G1A4E1S0C0_KDD/0032_G1A4E1S0C0_KDD_000769.wav,Happy,뭉클하다,surprised,0.9852
1.기쁨/0043_G2A4E1S0C0_GYJ/0043_G2A4E1S0C0_GYJ_001932.wav,Happy,행복하다,happy,1.0
1.기쁨/0032_G1A4E1S0C0_KDD/0032_G1A4E1S0C0_KDD_001638.wav,Happy,즐겁다,happy,1.0
1.기쁨/0034_G2A4E1S0C0_LJH/0034_G2A4E1S0C0_LJH_000248.wav,Happy,굉장하다,surprised,0.952
1.기쁨/0043_G2A4E1S0C0_GYJ/0043_G2A4E1S0C0_GYJ_001992.wav,Happy,홀가분하다,surprised,1.0
1.기쁨/0043_G2A4E1S0C0_GYJ/0043_G2A4E1S0C0_GYJ_001255.wav,Happy,자랑스럽다,surprised,1.0
1.기쁨/0043_G2A4E1S0C0_GYJ/0043_G2A4E1S0C0_GYJ_000581.wav,Happy,만족스럽다,happy,0.6518
1.기쁨/0043_G2A4E1S0C0_GYJ/0043_G2A4E1S0C0_GYJ_000349.wav,Happy,굉장하다,surprised,1.0
1.기쁨/0043_G2A4E1S0C0_GYJ/0043_G2A4E1S0C0_GYJ_001324.wav,Happy,자랑스럽다,surprised,1.0
1.기쁨/0032_G1A4E1S0C0_KDD/0032_G1A4E1S0C0_KDD_001772.wav,Happy,행복하다,surprised,1.0
1.기쁨/0032_G1A4E1S0C0_KDD/0032_G1A4E1S0C0_KDD_001543.wav,Happy,자유롭다,happy,0.9985
