wav_relpath,gt_emotion,gt_sensitivity,pred,score
1.기쁨/0032_G1A4E1S0C0_KDD/0032_G1A4E1S0C0_KDD_001684.wav,Happy,즐겁다,happy,0.9997
1.기쁨/0043_G2A4E1S0C0_GYJ/0043_G2A4E1S0C0_GYJ_000855.wav,Happy,반갑다,surprised,0.9997
1.기쁨/0043_G2A4E1S0C0_GYJ/0043_G2A4E1S0C0_GYJ_001551.wav,Happy,자유롭다,happy,1.0
1.기쁨/0029_G2A4E1S0C0_KJE/0029_G2A4E1S0C0_KJE_000286.wav,Happy,굉장하다,happy,0.9992
1.기쁨/0034_G2A4E1S0C0_LJH/0034_G2A4E1S0C0_LJH_001399.wav,Happy,자랑스럽다,happy,0.9322
1.기쁨/0034_G2A4E1S0C0_LJH/0034_G2A4E1S0C0_LJH_001573.wav,Happy,즐겁다,happy,1.0
1.기쁨/0043_G2A4E1S0C0_GYJ/0043_G2A4E1S0C0_GYJ_001924.wav,Happy,행복하다,surprised,0.9995
1.기쁨/0043_G2A4E1S0C0_GYJ/0043_G2A4E1S0C0_GYJ_000540.wav,Happy,만족스럽다,surprised,0.887
1.기쁨/0029_G2A4E1S0C0_KJE/0029_G2A4E1S0C0_KJE_000397.wav,Happy,만족스럽다,neutral,0.9859
1.기쁨/0043_G2A4E1S0C0_GYJ/0043_G2A4E1S0C0_GYJ_001896.wav,Happy,행복하다,surprised,1.0
1.기쁨/0032_G1A4E1S0C0_KDD/0032_G1A4E1S0C0_KDD_000874.wav,Happy,반갑다,happy,1.0
1.기쁨/0029_G2A4E1S0C0_KJE/0029_G2A4E1S0C0_KJE_000087.wav,Happy,고맙다,surprised,1.0
1.기쁨/0029_G2A4E1S0C0_KJE/0029_G2A4E1S0C0_KJE_000948.wav,Happy,반갑다,happy,0.9989
1.기쁨/0032_G1A4E1S0C0_KDD/0032_G1A4E1S0C0_KDD_000769.wav,Happy,뭉클하다,happy,0.9995
1.기쁨/0043_G2A4E1S0C0_GYJ/0043_G2A4E1S0C0_GYJ_001932.wav,Happy,행복하다,happy,0.9312
1.기쁨/0032_G1A4E1S0C0_KDD/0032_G1A4E1S0C0_KDD_001638.wav,Happy,즐겁다,happy,1.0
1.기쁨/0034_G2A4E1S0C0_LJH/0034_G2A4E1S0C0_LJH_000248.wav,Happy,굉장하다,happy,0.943
1.기쁨/0043_G2A4E1S0C0_GYJ/0043_G2A4E1S0C0_GYJ_001992.wav,Happy,홀가분하다,surprised,1.0
1.기쁨/0043_G2A4E1S0C0_GYJ/0043_G2A4E1S0C0_GYJ_001255.wav,Happy,자랑스럽다,surprised,0.8945
1.기쁨/0043_G2A4E1S0C0_GYJ/0043_G2A4E1S0C0_GYJ_000581.wav,Happy,만족스럽다,surprised,0.9905
1.기쁨/0043_G2A4E1S0C0_GYJ/0043_G2A4E1S0C0_GYJ_000349.wav,Happy,굉장하다,surprised,1.0
1.기쁨/0043_G2A4E1S0C0_GYJ/0043_G2A4E1S0C0_GYJ_001324.wav,Happy,자랑스럽다,surprised,0.6678
1.기쁨/0032_G1A4E1S0C0_KDD/0032_G1A4E1S0C0_KDD_001772.wav,Happy,행복하다,surprised,0.6613
1.기쁨/0032_G1A4E1S0C0_KDD/0032_G1A4E1S0C0_KDD_001543.wav,Happy,자유롭다,happy,1.0
1.기쁨/0043_G2A4E1S0C0_GYJ/0043_G2A4E1S0C0_GYJ_001813.wav,Happy,행복하다,surprised,0.9357
1.기쁨/0032_G1A4E1S0C0_KDD/0032_G1A4E1S0C0_KDD_001317.wav,Happy,자랑스럽다,happy,0.4946
1.기쁨/0043_G2A4E1S0C0_GYJ/0043_G2A4E1S0C0_GYJ_000177.wav,Happy,굉장하다,surprised,1.0
1.기쁨/0032_G1A4E1S0C0_KDD/0032_G1A4E1S0C0_KDD_001066.wav,Happy,사랑스럽다,happy,1.0
1.기쁨/0032_G1A4E1S0C0_KDD/0032_G1A4E1S0C0_KDD_001579.wav,Happy,즐겁다,happy,1.0
1.기쁨/0032_G1A4E1S0C0_KDD/0032_G1A4E1S0C0_KDD_001198.wav,Happy,영광스럽다,angry,0.998
1.기쁨/0032_G1A4E1S0C0_KDD/0032_G1A4E1S0C0_KDD_000837.wav,Happy,반갑다,happy,1.0
1.기쁨/0034_G2A4E1S0C0_LJH/0034_G2A4E1S0C0_LJH_001839.wav,Happy,행복하다,happy,1.0
1.기쁨/0043_G2A4E1S0C0_GYJ/0043_G2A4E1S0C0_GYJ_000555.wav,Happy,만족스럽다,happy,1.0
1.기쁨/0034_G2A4E1S0C0_LJH/0034_G2A4E1S0C0_LJH_001115.wav,Happy,사랑스럽다,surprised,0.9739
1.기쁨/0032_G1A4E1S0C0_KDD/0032_G1A4E1S0C0_KDD_000711.wav,Happy,뭉클하다,happy,0.9978
1.기쁨/0034_G2A4E1S0C0_LJH/0034_G2A4E1S0C0_LJH_001817.wav,Happy,행복하다,happy,0.927
1.기쁨/0029_G2A4E1S0C0_KJE/0029_G2A4E1S0C0_KJE_001918.wav,Happy,행복하다,happy,1.0
1.기쁨/0029_G2A4E1S0C0_KJE/0029_G2A4E1S0C0_KJE_001231.wav,Happy,영광스럽다,surprised,0.9999
1.기쁨/0043_G2A4E1S0C0_GYJ/0043_G2A4E1S0C0_GYJ_000416.wav,Happy,만족스럽다,surprised,0.9989
1.기쁨/0029_G2A4E1S0C0_KJE/0029_G2A4E1S0C0_KJE_001530.wav,Happy,자유롭다,surprised,1.0
1.기쁨/0029_G2A4E1S0C0_KJE/0029_G2A4E1S0C0_KJE_001440.wav,Happy,자랑스럽다,angry,0.8717
1.기쁨/0043_G2A4E1S0C0_GYJ/0043_G2A4E1S0C0_GYJ_000656.wav,Happy,만족스럽다,happy,1.0
1.기쁨/0032_G1A4E1S0C0_KDD/0032_G1A4E1S0C0_KDD_001736.wav,Happy,즐겁다,happy,1.0
1.기쁨/0034_G2A4E1S0C0_LJH/0034_G2A4E1S0C0_LJH_001328.wav,Happy,자랑스럽다,happy,0.8664
1.기쁨/0034_G2A4E1S0C0_LJH/0034_G2A4E1S0C0_LJH_000024.wav,Happy,고맙다,surprised,0.9739
1.기쁨/0034_G2A4E1S0C0_LJH/0034_G2A4E1S0C0_LJH_001193.wav,Happy,영광스럽다,surprised,0.9563
1.기쁨/0043_G2A4E1S0C0_GYJ/0043_G2A4E1S0C0_GYJ_000386.wav,Happy,만족스럽다,happy,0.9987
1.기쁨/0043_G2A4E1S0C0_GYJ/0043_G2A4E1S0C0_GYJ_001878.wav,Happy,행복하다,surprised,1.0
1.기쁨/0029_G2A4E1S0C0_KJE/0029_G2A4E1S0C0_KJE_000051.wav,Happy,고맙다,happy,1.0
1.기쁨/0029_G2A4E1S0C0_KJE/0029_G2A4E1S0C0_KJE_000615.wav,Happy,만족스럽다,happy,0.9653
2.슬픔/0033_G2A3E2S0C0_KMA/0033_G2A3E2S0C0_KMA_001842.wav,Sad,안타깝다,sad,0.9999
2.슬픔/0036_G1A4E2S0C0_BJS/0036_G1A4E2S0C0_BJS_000749.wav,Sad,불행하다,fearful,0.9885
